#,group,item,qty,unit,unit_usd,ext_usd,est_mxn_landed,buy_from,price_basis,confidence,notes
1,PCB,MCU board PCBA (STM32F446RET6 + power/USB/I2C mux),1,ea,95.00,95.00,2185,JLCPCB or PCBWay → DHL MTY,Estimate small-run PCBA incl. parts+asm,med,Order 2–3 boards. Includes STM32F446RET6 TCA9548A BQ21080 passives.
2,PCB,Sensor board PCBA (2×BMM350 + BHI360 + TCA9406),15,ea,22.00,330.00,7590,JLCPCB or PCBWay → DHL MTY,"Parts ~$11 (2×$2.17 BMM350 LCSC + ~$5.74 BHI360) + PCB/asm ~$11",med,12 for glove + 3 spare. Confirm Bosch stock before fab.
3,Magnetics,MuMetal sheet 0.006in × 8×12in,1,sheet,79.99,79.99,1840,DigiKey / Magnetic Shield / Amazon US+forwarder,OSMO bom.md Amazon ref,high,Cut 12 pcs 11×12 mm; sand both faces.
4,Magnetics,Magnequench MQFP-15-7 powder (NOT MQP),20,g,12.50,250.00,5750,Magnequench sales (mqitechnology.com),Quote TBD — research small-lot estimate,low,Email sales; ~2–3 wk from Thailand. Hard long-lead item.
5,Silicone,Smooth-On Ecoflex 00-30 trial kit (~2 lb),1,kit,36.00,36.00,830,Amazon.com.mx first / Smooth-On dealers,Retail ~$33–51,high,Recipe: 8g A + 8g B + 16g MQFP.
6,Silicone,Smooth-On Sil-Poxy adhesive 3 oz,2,tube,33.00,66.00,1520,Amazon.com.mx / Smooth-On,OSMO bom ~$32.88/tube,high,Buy 2; critical for stack insulation+bond.
7,Wiring,Enameled magnet wire 28 AWG,1,spool,8.79,8.79,200,Amazon.com.mx / Mercado Libre,OSMO bom.md,high,Official substitute for Maeden tinsel.
8,Glove,Beige thin work gloves (base + outer),2,pair,4.00,8.00,185,Amazon.com.mx / Mercado Libre,OSMO pack ~$8,high,Match thin beige for hand tracking.
9,Consumable,Kapton (polyimide) tape,1,roll,9.99,9.99,230,Amazon.com.mx / Mercado Libre,OSMO bom.md,high,
10,Programming,STLINK-V3MINIE,1,ea,24.84,24.84,570,Mouser.mx / DigiKey,DigiKey list $24.84,high,Prefer official over clones.
11,Programming,Tag-Connect TC2030-IDC-NL (optional),1,ea,44.58,44.58,1025,Tag-Connect / DigiKey,Findchips DigiKey ~$44.58,high,MVP skip: solder $2 SWD header instead (−$45).
12,Cable,USB-C to USB-A data cable ~3 m,1,ea,9.99,9.99,230,Amazon.com.mx,OSMO bom.md,high,Must be data-capable.
13,Tool,Chip Quik flux SMD4300TF30 (optional),1,syringe,39.99,39.99,920,Mouser.mx / DigiKey,DigiKey list,high,Strongly helps tinsel/enamel joints.
14,Tool,Temperature-controlled soldering iron,1,ea,45.00,45.00,1035,Amazon.com.mx / Mercado Libre,Street MX estimate,med,Skip if team already owns one.
15,Tool,Solder wire (Sn63/Pb37 or SAC305),1,spool,12.00,12.00,275,Steren / Amazon.com.mx,Local estimate,med,
16,Tool,Digital multimeter (continuity),1,ea,18.00,18.00,415,Steren MTY / Amazon.com.mx,Local estimate,med,
17,Tool,Gram scale 0.1 g resolution,1,ea,12.00,12.00,275,Amazon.com.mx,Local estimate,high,
18,Tool,Mixing cups + stir sticks,1,pack,8.00,8.00,185,Amazon.com.mx / local,Local estimate,high,
19,Tool,Cotton applicators,1,pack,5.00,5.00,115,Farmacia / Amazon.com.mx,Local estimate,high,
20,Tool,Silicone mold release spray,1,can,20.00,20.00,460,Amazon.com.mx,OSMO-class estimate,med,
21,Tool,Coarse sandpaper pack,1,pack,5.00,5.00,115,Home Depot MX,Local estimate,high,
22,Tool,Xacto / craft knife,1,ea,9.00,9.00,210,Amazon.com.mx / papelería,OSMO bom.md,high,
23,Fab,Resin 3D print fingertip + palm molds,1,set,60.00,60.00,1380,Local MTY resin print / FabLab,Local quote estimate,med,Official STL still TODO upstream — ask authors or reverse dims.
24,Service,Pulse magnetizer access (8 s @ 2 kV),1,access,0.00,0.00,0,Tec materials/physics lab OR Magnet-Physik service,If paid service budget $200–800,low,BLOCKER. Do not buy the machine. Settings in OSMO bom FAQ.
25,Seneca,Head-mounted RGB camera (egocentric),1,ea,150.00,150.00,3450,Amazon.com.mx (Action cam / Quest / RealSense),GoPro-class ballpark,med,Not in OSMO paper BOM.
26,Seneca,Wrist RGB camera module,2,ea,40.00,80.00,1840,Amazon.com.mx / Mercado Libre,Module ballpark,med,Mount to cuff; software timestamp sync.
27,Host,Linux PC for ROS2 / flash / record,1,ea,0.00,0.00,0,Existing lab laptop,Use what you have,high,If buying used mini-PC budget ~$250–400.
